sournois,SOURNOI,YES
grossier,GROSI,YES
starfallah,STARFALA,NO
porterais,PORTERAI,YES
foul,FOUL,NO
liégeois,LIEJOI,YES
four,FOUR,YES
betch,BETCH,NO
woods,OU,NO
travaux,TRAVO,YES
fout,FOU,YES
fouu,FOU,NO
lannibersaire,LANIBERSAIR,NO
gabriella,GABRIELA,NO
présentons,PRESANTON,YES
cyprus,SIPRU,NO
surpasse,SURPAS,YES
bouel,BOUEL,NO
vocês,VOS,NO
devenir,DEVENIR,YES
gaboma,GABOMA,NO
holofote,OLOFOT,NO
orthographier,ORTOGRAFI,YES
originalite,ORIJINALIT,NO
lors,LOR,YES
gab,GAB,NO
décue,DEKU,NO
coucou,KOUKOU,YES
rapproche,RAPROCH,YES
libérée,LIBER,YES
empeche,ANPECH,NO
valeur,VALER,YES
ever…,EV,NO
marabou,MARABOU,NO
sehun,SAN,NO
diskslslsks,DISKSLSLSK,NO
machoire,MACHOIR,NO
fut,FU,YES
dégueu,DEG,NO
ptdrrrrrrrrrrrrrrrrrrrrrrrrrrr,PTDRRRRRRR,NO
rennais,RENAI,NO
bringing,BRINJING,NO
postillons,POSTILON,YES
foufe,FOUF,NO
commentez,KOMANT,YES
fous,FOU,YES
aaaaaaah,AA,NO
commenter,KOMANT,YES
douiller,DOUIL,YES
consentimiento,KONSANTIMINTO,NO
liquide,LIKID,YES
raccroché,RAKROCH,YES
mdr^^,MDR,NO
oooh,OU,NO
humeur,UMER,YES
path,PA,NO
frittes,FRIT,YES
wallaye,OILAI,NO
krees,KR,NO
chauffer,CHOF,YES
tired,TIR,NO
milles,MIL,YES
fskdjskhsii,FSKDJSKSI,NO
directement,DIREKTEMAN,YES
audimat,ODIMA,NO
tveu,TV,NO
tirer,TIR,YES
pencher,PANCH,YES
tirez,TIR,YES
melvin,MELVIN,NO
abonné,ABON,YES
blouse,BLOUS,YES
captain,KAPTIN,NO
milie,MILI,NO
revisitée,REVISIT,NO
risbourg,RISBOUR,NO
cooking,KOUKING,NO
mogu,MOGU,NO
nanas,NANA,YES
hayange,AIANJ,NO
familles,FAMIL,YES
ouaiiiiis,OII,NO
grossir,GROSIR,YES
pressed,PRES,NO
fusionner,FUSION,YES
utau_ranabot,UTORANABO,NO
dors,DOR,YES
rebeu,REB,NO
divertissement,DIVERTISEMAN,YES
webradio,WEBRADIO,NO
minlss,MINL,NO
here,ER,NO
chine,CHIN,YES
china,CHINA,YES
vielles,VIEL,YES
dorm,DORM,NO
cadavre,KADAVR,YES
remet,REM,YES
journalisme,JOURNALISM,YES
dork,DORK,NO
culs,KUL,YES
connaissance,KONAISANS,YES
mélanie,MELANI,NO
soul,SOUL,NO
jdois,JDOI,NO
dentelle,DANTEL,YES
k,k,NO
regroupement,REGROUPEMAN,YES
ressortira,RESORTIRA,YES
robin,ROBIN,YES
agthu,ATU,NO
couchés,KOUCH,YES
thons,TON,YES
wadi,OIDI,NO
medida,MEDIDA,NO
nulle,NUL,YES
missing,MISING,NO
rebel,REBEL,NO
antillaise,ANTILAIS,YES
mmdrr,MDR,NO
tthilleman,TILEMAN,NO
replace,REPLAS,YES
brought,BROU,NO
gaffe,GAF,YES
attente,ATANT,YES
airball,AIRBAL,NO
réssemble,RESANBL,NO
unir,UNIR,YES
unis,UNI,YES
libérés,LIBER,YES
gereeeee,JERE,NO
balaise,BALAIS,YES
alsacienne,ALSASIAN,YES
portugal,PORTUGAL,NO
dnc,DNK,NO
atkal,ATKAL,NO
wurtz,WURTZ,NO
woa,OA,NO
agasse,AGAS,YES
patriiiick,PATRIK,NO
hein$,IN,NO
music,MUSIK,NO
dns,DN,NO
exploser,EXPLOS,YES
compétitions,KONPETISION,YES
until,UNTI,NO
traditionnels,TRADISIONEL,YES
salaires,SALAIR,YES
playboy,PLAIBOI,NO
females,FEMAL,NO
holy,OLI,NO
thuit,TUI,NO
jms,JM,NO
notif,NOTIF,NO
sortie,SORTI,YES
yahoo,IAOU,NO
hurt,UR,NO
chauffe,CHOF,YES
déambulateur,DEANBULATER,NO
beauté,BOT,YES
lord,LOR,YES
hold,OL,NO
jmf,JMF,NO
succède,SUKSED,YES
hola,OLA,NO
jme,JM,NO
giros,JIRO,NO
baymak,BAIMAK,NO
kampala,KANPALA,NO
naattend,NATAN,NO
commentaire,KOMANTAIR,YES
locaux,LOKO,YES
uniquement,UNIKEMAN,YES
mdrrrrrrrrrkkrk,MDRRRKRK,NO
buzzé,BUZ,NO
sweeter,SWET,NO
naaaaaan,NAAN,NO
xo,XO,NO
avaient,AVIN,YES
pétasses,PETAS,YES
enfoires,ANFOIR,YES
leonhardt,LEONAR,NO
wana,OINA,NO
vor,VOR,NO
paaas,PA,NO
dragons,DRAGON,YES
pinte,PINT,YES
bassine,BASIN,YES
parcontre,PARKONTR,NO
reviewing,REVIEOUING,NO
want,OIN,NO
adresse,ADRES,YES
siècle,SIEKL,YES
rayon,RAION,YES
honest,ON,NO
jure,JUR,YES
warendin,OIRANDIN,NO
eeeuh,EE,NO
angleterre,ANGLETER,YES
knows,KNOU,NO
complaining,KONPLAINING,NO
auger,OJ,NO
travel,TRAVEL,NO
pinaise,PINAIS,NO
damage,DAMAJ,YES
cracottes,KRAKOT,NO
fatiguée,FATIG,YES
how,OU,NO
hot,O,NO
mddddr,MDR,NO
hop,OP,YES
audi,ODI,NO
salmond,SALMON,NO
brassard,BRASAR,YES
hoy,OI,NO
méchant,MECHAN,YES
gamine,GAMIN,YES
beauty,BOTI,NO
funny,FINI,NO
vibrer,VIBR,YES
trouvons,TROUVON,YES
swing,SOUING,YES
balade,BALAD,YES
resultats,RESULTA,NO
meilleures,MAILER,YES
délégation,DELEGASION,YES
pessac,PESAK,NO
wrong,WRONG,NO
queutard,KETAR,NO
eeeeeeeerch,EERCH,NO
bambita,BANBITA,NO
bègue,BEG,YES
combler,KONBL,YES
chump,CHUMP,NO
beaute,BOT,NO
niqué,NIK,YES
atravez,ATRAV,NO
souci,SOUSI,YES
historique,ISTORIK,YES
sentir,SANTIR,YES
sentiu,SANTIU,NO
superficielles,SUPERFISIEL,YES
cheri,CHERI,NO
season,SEASON,NO
alias,ALIA,NO
outrée,OUTR,YES
vasy,VASI,NO
défiler,DEFIL,YES
défiles,DEFIL,YES
chers,CHER,YES
keeps,KEP,NO
salomerainbow,SALOMERINBOU,NO
nordiste,NORDIST,YES
tekchita,TEKCHITA,NO
wind,OUIN,NO
t_t,t_t,NO
sacrée,SAKR,YES
peux,PE,YES
chailles,CHAIL,YES
déguelasse,DEGELAS,NO
vivons,VIVON,YES
sanchez,SANCH,NO
peur,PER,YES
peus,PE,NO
concurrence,KONKURANS,YES
glissé,GLIS,YES
boire,BOIR,YES
chialeuse,CHIALES,YES
jvote,JVOT,NO
voirai,VOIRAI,NO
picardiiiiiiie,PIKARDII,NO
foreal,FOREAL,NO
dégoûté,DEGOUT,YES
relève,RELEV,YES
peuf,PEF,NO
sauté,SOT,YES
reprises,REPRIS,YES
uou,UOU,NO
xerez,XER,NO
diebling,DIEBLING,NO
screaming,SKREAMING,NO
fix,FI,NO
reche,RECH,NO
tourmentée,TOURMANT,YES
caractère,KARAKTER,YES
fic,FIK,YES
hm,hm,NO
connes,KON,YES
mewling,MEWLING,NO
missspécial,MISPESIAL,NO
nobles,NOBL,YES
fii,FI,NO
allocatif,ALOKATIF,NO
ré,RE,YES
fil,FIL,YES
mystère,MISTER,YES
diront,DIRON,YES
allumé,ALUM,YES
beauf,BOF,NO
rute,RUT,NO
lambert,LANBER,NO
