^ECHO$,EKO
^ECEUR,EKEUR
^CH(OG+|OL+|OR+|EU+|ARIS|M+|IRO|ONDR),K$1
(YN|RI)CH(OG+|OL+|OC+|OP+|OM+|ARIS|M+|IRO|ONDR),$1K$2
CHS,CH
CH(AIQ),K$1
^ECHO([^UIPY]),EKO$1
ISCH(I|E),ISK$1
^ICHT,IKT
ORCHID,ORKID
ONCHIO,ONKIO
ACHIA,AKIA
([^C])ANICH,$1ANIK
OMANIK,OMANICH
ACHY([^D]),AKI$1
([AEIOU])C([BDFGJKLMNPQRTVWXZ]),$1K$2
EUCHA,EKA
YCHIA,IKIA
YCHA,IKA
YCHO,IKO
YCHED,IKED
ACHEO,AKEO
RCHEO,RKEO
RCHES,RKES
ECHN,EKN
OCHTO,OKTO
CHORA,KORA
CHONDR,KONDR
CHORE,KORE
MACHM,MAKM
BRONCHO,BRONKO
LICHOS,LIKOS
LICHOC,LIKOC
QU,K
Q,K
